section_code,section_label_en,division_code,division_label_en,group_code,group_label_en,embedding_description
C,C MANUFACTURING,33,"33 Repair, maintenance and installation of machinery and equipment",331,"33.1 Repair and maintenance of fabricated metal products, machinery and equipment","C MANUFACTURING 33 Repair, maintenance and installation of machinery and equipment 33.1 Repair and maintenance of fabricated metal products, machinery and equipment This group includes the specialised repair of goods produced in the manufacturing sector with the aim to restore these metal products, machinery, equipment and other products to working order. The provision of general or routine maintenance (in other words, servicing) on such products to ensure they work efficiently and to prevent breakdown and unnecessary repairs is included."
H,H TRANSPORTATION AND STORAGE,49,49 Land transport and transport via pipelines,493,49.3 Other passenger land transport,H TRANSPORTATION AND STORAGE 49 Land transport and transport via pipelines 49.3 Other passenger land transport This group includes all land-based passenger transport activities other than rail transport.
G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,461,46.1 Wholesale on a fee or contract basis,"G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.1 Wholesale on a fee or contract basis This group includes intermediation service activities, in other words, the facilitation of transactions between sellers and buyers for the ordering of goods for a fee or commission without taking ownership of the goods intermediated, including:
- activities of commission agents, commodity brokers and other wholesalers trading on the account of others without owning the intermediated goods at any time
- activities of bringing sellers and buyers together
- activities of undertaking commercial transactions on the account of a principal, including on the internet This group also includes:
- activities of central purchasing units if they are only intermediaries and do not own the goods
- activities of wholesale auctioneering houses for third-party goods, including internet wholesale auctions"
G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,463,"46.3 Wholesale of food, beverages and tobacco","G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.3 Wholesale of food, beverages and tobacco This group includes:
- wholesale of fresh, preserved and frozen food
- specialised and non-specialised wholesale of food, beverages and tobacco"
P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,84,84 Public administration and defence; compulsory social security,841,"84.1 Administration of the State and the economic, social and environmental policies of the community","P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY 84 Public administration and defence; compulsory social security 84.1 Administration of the State and the economic, social and environmental policies of the community This group includes general administration (for example, executive, legislative and financial administration, at all levels of government) and supervision in the field of social, economic and environmental policy of the community."
I,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES,56,56 Food and beverage service activities,561,56.1 Restaurants and mobile food service activities,"I ACCOMMODATION AND FOOD SERVICE ACTIVITIES 56 Food and beverage service activities 56.1 Restaurants and mobile food service activities This group includes:
- restaurant and mobile food service activities for a general public, on a regular basis"
C,C MANUFACTURING,13,13 Manufacture of textiles,139,13.9 Manufacture of other textiles,"C MANUFACTURING 13 Manufacture of textiles 13.9 Manufacture of other textiles This group includes the manufacture of products produced from textiles, except wearing apparel (for example, made-up textile articles, carpets and rugs, rope, narrow woven fabrics, trimmings)."
Q,Q EDUCATION,85,85 Education,856,85.6 Educational support activities,Q EDUCATION 85 Education 85.6 Educational support activities
F,F CONSTRUCTION,43,43 Specialised construction activities,432,"43.2 Electrical, plumbing and other construction installation activities","F CONSTRUCTION 43 Specialised construction activities 43.2 Electrical, plumbing and other construction installation activities This group includes installation activities that support the functioning of a building, including the installation of electrical systems, plumbing (water, gas and sewerage systems), heat and air-conditioning systems, elevators, and so on."
E,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",38,"38 Waste collection, recovery and disposal activities",382,38.2 Waste recovery,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES 38 Waste collection, recovery and disposal activities 38.2 Waste recovery This group includes waste pretreatment and recovery of both non-hazardous and hazardous waste. Included are materials recovery, energy recovery resulting from thermal treatment of waste and other forms of waste recovery. Treatment prior to recovery of various forms of waste by different means is also included in the group."
