section_code,section_label_en,division_code,division_label_en,group_code,group_label_en,embedding_description
L,L FINANCIAL AND INSURANCE ACTIVITIES,64,"64 Financial service activities, except insurance and pension funding",643,"64.3 Activities of trusts, funds and similar financial entities","L FINANCIAL AND INSURANCE ACTIVITIES 64 Financial service activities, except insurance and pension funding 64.3 Activities of trusts, funds and similar financial entities This group includes legal entities organised to pool securities or other financial assets, without managing or administrating them, on behalf of shareholders or beneficiaries. The portfolios are customised to achieve specific investment characteristics (for example, diversification, risk, rate of return, price volatility). These entities earn interest, dividends and other property income, but have little or no employment and no revenue from the sale of services."
S,"S ARTS, SPORTS AND RECREATION",90,90 Arts creation and performing arts activities,902,90.2 Activities of performing arts,"S ARTS, SPORTS AND RECREATION 90 Arts creation and performing arts activities 90.2 Activities of performing arts"
P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,84,84 Public administration and defence; compulsory social security,842,84.2 Provision of services to the community as a whole,"P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY 84 Public administration and defence; compulsory social security 84.2 Provision of services to the community as a whole This group includes foreign affairs, defence, justice, public order and safety activities."
S,"S ARTS, SPORTS AND RECREATION",90,90 Arts creation and performing arts activities,901,90.1 Arts creation activities,"S ARTS, SPORTS AND RECREATION 90 Arts creation and performing arts activities 90.1 Arts creation activities This group includes activities in literary creation, musical composition, visual arts creation and related activities."
C,C MANUFACTURING,18,18 Printing and reproduction of recorded media,181,18.1 Printing and service activities related to printing,"C MANUFACTURING 18 Printing and reproduction of recorded media 18.1 Printing and service activities related to printing This group includes the printing of products (for example, newspapers, books, periodicals, business forms and greeting cards), printing on T-shirts and other types of material, and associated support activities (for example, bookbinding, plate-making services, data imaging). Printing can be done using various techniques and on different materials."
J,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",60,"60 Programming, broadcasting, news agency and other content distribution activities",602,"60.2 Television programming, broadcasting and video distribution activities","J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES 60 Programming, broadcasting, news agency and other content distribution activities 60.2 Television programming, broadcasting and video distribution activities"
J,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",60,"60 Programming, broadcasting, news agency and other content distribution activities",601,60.1 Radio broadcasting and audio distribution activities,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES 60 Programming, broadcasting, news agency and other content distribution activities 60.1 Radio broadcasting and audio distribution activities"
T,T OTHER SERVICE ACTIVITIES,96,96 Personal service activities,962,"96.2 Hairdressing, beauty treatment, day spa and similar activities","T OTHER SERVICE ACTIVITIES 96 Personal service activities 96.2 Hairdressing, beauty treatment, day spa and similar activities"
S,"S ARTS, SPORTS AND RECREATION",93,93 Sports activities and amusement and recreation activities,931,93.1 Sports activities,"S ARTS, SPORTS AND RECREATION 93 Sports activities and amusement and recreation activities 93.1 Sports activities This group includes the operation of sports facilities; activities of sports teams or clubs primarily participating in live sporting events; independent athletes engaged in participating in live sports or racing events; activities related to training animals for sports or entertainment; sports trainers providing specialised services to support participants in sporting events or competitions; operators of arenas and stadiums; other activities of organising, promoting or managing sporting events n.e.c."
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",75,75 Veterinary activities,750,75.0 Veterinary activities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 75 Veterinary activities 75.0 Veterinary activities"
E,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",37,37 Sewerage,370,37.0 Sewerage,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES 37 Sewerage 37.0 Sewerage"
G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,478,"47.8 Retail sale of motor vehicles, motorcycles and related parts and accessories","G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.8 Retail sale of motor vehicles, motorcycles and related parts and accessories This group includes the retail sale of new and second-hand motor vehicles and motorcycles, as well as all kinds of parts, components, supplies, tools and accessories for motor vehicles and motorcycles, for example:
 • rubber tyres and inner tubes for tyres
 • spark plugs, batteries, lighting equipment, vehicle charging equipment and electrical parts This group also includes:
- retail sale of used parts and accessories after dismantling cars or other motor vehicles
- retail sale of parts and accessories for electric motor vehicles and motorcycles"
G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,467,"46.7 Wholesale of motor vehicles, motorcycles and related parts and accessories","G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.7 Wholesale of motor vehicles, motorcycles and related parts and accessories"
G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,479,47.9 Intermediation service activities for retail sale,"G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.9 Intermediation service activities for retail sale This group includes intermediation service activities for specialised and non-specialised retail sale that facilitate transactions between buyers and sellers of physical goods for a fee or commission, without supplying and taking ownership of the goods that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (including face-to-face, door-to-door, telephone, mail, and so on). The fee or commission can be received from either the buyers or sellers. Revenue for intermediation service activities for retail sale can include other sources of income (for example, revenues from the sale of advertising space). This group also includes:
- activities of intermediaries in the retail sale of second-hand goods
- activities of retail auctioneering houses for both new and used third-party goods, including internet retail auctions
- activities of agents for the retail sale of motor vehicles and motorcycles"
S,"S ARTS, SPORTS AND RECREATION",91,"91 Libraries, archives, museums and other cultural activities",912,"91.2 Museum, collection, historical site and monument activities","S ARTS, SPORTS AND RECREATION 91 Libraries, archives, museums and other cultural activities 91.2 Museum, collection, historical site and monument activities This group includes the operation, management, care, preservation, exhibition and assessment of cultural heritage: tangible, intangible and digital in a wide variety of types of collections (both private and public). It includes activities pertaining to cultural heritage places as a result of human intervention in its surroundings, from landscapes to gardens, from historical and archaeological sites to buildings."
S,"S ARTS, SPORTS AND RECREATION",91,"91 Libraries, archives, museums and other cultural activities",913,"91.3 Conservation, restoration and other support activities for cultural heritage","S ARTS, SPORTS AND RECREATION 91 Libraries, archives, museums and other cultural activities 91.3 Conservation, restoration and other support activities for cultural heritage"
D,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",35,"35 Electricity, gas, steam and air conditioning supply",354,35.4 Activities of brokers and agents for electric power and natural gas,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY 35 Electricity, gas, steam and air conditioning supply 35.4 Activities of brokers and agents for electric power and natural gas"
T,T OTHER SERVICE ACTIVITIES,94,94 Activities of membership organisations,949,94.9 Activities of other membership organisations,"T OTHER SERVICE ACTIVITIES 94 Activities of membership organisations 94.9 Activities of other membership organisations This group includes the activities of units (except business and employers’ membership organisations, professional membership organisations and trade unions) that promote the interests of their members."
T,T OTHER SERVICE ACTIVITIES,94,94 Activities of membership organisations,941,"94.1 Activities of business, employers and professional membership organisations","T OTHER SERVICE ACTIVITIES 94 Activities of membership organisations 94.1 Activities of business, employers and professional membership organisations This group includes the activities of promoting the interests of the members of business and employer organisations. In the case of professional membership organisations, it also includes the activities of promoting the professional interests of members of the profession."
T,T OTHER SERVICE ACTIVITIES,94,94 Activities of membership organisations,942,94.2 Activities of trade unions,T OTHER SERVICE ACTIVITIES 94 Activities of membership organisations 94.2 Activities of trade unions
U,U ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,97,97 Activities of households as employers of domestic personnel,970,97.0 Activities of households as employers of domestic personnel,U ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE 97 Activities of households as employers of domestic personnel 97.0 Activities of households as employers of domestic personnel
G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,464,46.4 Wholesale of household goods,"G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.4 Wholesale of household goods This group includes the wholesale of household goods, including textiles and furniture."
C,C MANUFACTURING,25,"25 Manufacture of fabricated metal products, except machinery and equipment",251,25.1 Manufacture of structural metal products,"C MANUFACTURING 25 Manufacture of fabricated metal products, except machinery and equipment 25.1 Manufacture of structural metal products This group includes the manufacture of structural metal products (for example, metal frameworks or metal parts for parts of structures)."
C,C MANUFACTURING,32,32 Other manufacturing,322,32.2 Manufacture of musical instruments,C MANUFACTURING 32 Other manufacturing 32.2 Manufacture of musical instruments
C,C MANUFACTURING,13,13 Manufacture of textiles,133,13.3 Finishing of textiles,C MANUFACTURING 13 Manufacture of textiles 13.3 Finishing of textiles
C,C MANUFACTURING,28,28 Manufacture of machinery and equipment n.e.c.,284,28.4 Manufacture of metal forming machinery and machine tools,"C MANUFACTURING 28 Manufacture of machinery and equipment n.e.c. 28.4 Manufacture of metal forming machinery and machine tools This group includes the manufacture of metal forming machinery and machine tools (for example, the manufacture of machine tools for working metals and other materials, such as wood, bone, stone, hard rubber, hard plastics, cold glass, and so on), including those using a laser beam, ultrasonic waves, plasma arc or magnetic pulse."
C,C MANUFACTURING,17,17 Manufacture of paper and paper products,172,17.2 Manufacture of articles of paper and paperboard,C MANUFACTURING 17 Manufacture of paper and paper products 17.2 Manufacture of articles of paper and paperboard
G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,471,47.1 Non-specialised retail sale,"G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.1 Non-specialised retail sale This group includes the retail sale of a variety of product lines in the same unit (non-specialised sale, for example, supermarkets, hypermarkets, department stores)."
G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,474,47.4 Retail sale of information and communication equipment,G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.4 Retail sale of information and communication equipment
G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,476,47.6 Retail sale of cultural and recreational goods,"G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.6 Retail sale of cultural and recreational goods This group includes the specialised retail sale of cultural and recreation goods (for example, books, newspapers, audio and video recordings on physical media, sports equipment, games and toys)."
G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,473,47.3 Retail sale of automotive fuel,G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.3 Retail sale of automotive fuel
D,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",35,"35 Electricity, gas, steam and air conditioning supply",351,"35.1 Electric power generation, transmission and distribution","D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY 35 Electricity, gas, steam and air conditioning supply 35.1 Electric power generation, transmission and distribution This group includes the generation of electric power, transmission from generating facilities to distribution centres and distribution to end users. Trade and storage of electric power are also included."
D,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",35,"35 Electricity, gas, steam and air conditioning supply",353,35.3 Steam and air conditioning supply,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY 35 Electricity, gas, steam and air conditioning supply 35.3 Steam and air conditioning supply"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,82,"82 Office administrative, office support and other business support activities",822,82.2 Activities of call centres,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 82 Office administrative, office support and other business support activities 82.2 Activities of call centres"
C,C MANUFACTURING,32,32 Other manufacturing,325,32.5 Manufacture of medical and dental instruments and supplies,C MANUFACTURING 32 Other manufacturing 32.5 Manufacture of medical and dental instruments and supplies
C,C MANUFACTURING,26,"26 Manufacture of computer, electronic and optical products",266,"26.6 Manufacture of irradiation, electromedical and electrotherapeutic equipment","C MANUFACTURING 26 Manufacture of computer, electronic and optical products 26.6 Manufacture of irradiation, electromedical and electrotherapeutic equipment"
G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,466,"46.6 Wholesale of other machinery, equipment and supplies","G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.6 Wholesale of other machinery, equipment and supplies This group includes the wholesale of specialised machinery, equipment and supplies for all kinds of industries and general-purpose machinery, and parts thereof."
H,H TRANSPORTATION AND STORAGE,50,50 Water transport,502,50.2 Sea and coastal freight water transport,"H TRANSPORTATION AND STORAGE 50 Water transport 50.2 Sea and coastal freight water transport This group also includes:
- transport of freight on lakes, etc., when similar types of vessels are used as on sea or coastal waters"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,80,80 Investigation and security activities,800,80.0 Investigation and security activities,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 80 Investigation and security activities 80.0 Investigation and security activities This group includes security activities that are normally carried out by private operators.
R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,88,88 Social work activities without accommodation,889,88.9 Other social work activities without accommodation,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES 88 Social work activities without accommodation 88.9 Other social work activities without accommodation
C,C MANUFACTURING,23,23 Manufacture of other non-metallic mineral products,235,"23.5 Manufacture of cement, lime and plaster","C MANUFACTURING 23 Manufacture of other non-metallic mineral products 23.5 Manufacture of cement, lime and plaster"
T,T OTHER SERVICE ACTIVITIES,96,96 Personal service activities,961,96.1 Washing and cleaning of textile and fur products,T OTHER SERVICE ACTIVITIES 96 Personal service activities 96.1 Washing and cleaning of textile and fur products
C,C MANUFACTURING,21,21 Manufacture of basic pharmaceutical products and pharmaceutical preparations,211,21.1 Manufacture of basic pharmaceutical products,C MANUFACTURING 21 Manufacture of basic pharmaceutical products and pharmaceutical preparations 21.1 Manufacture of basic pharmaceutical products
J,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",59,"59 Motion picture, video and television programme production, sound recording and music publishing activities",591,"59.1 Motion picture, video and television programme activities","J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES 59 Motion picture, video and television programme production, sound recording and music publishing activities 59.1 Motion picture, video and television programme activities This group includes the production of theatrical and non-theatrical motion pictures, videos or audiovisual works, whether on film, hard drive or other digital storage media, associated with digital distribution, for direct projection in theatres or for broadcasting or streaming; supporting post-production activities (for example, film editing, cutting, dubbing or conversion to video streaming formats); distribution of motion pictures or other audiovisual productions to other industries as well as their projection. Buying and selling of motion pictures or other audiovisual production distribution rights are also included."
C,C MANUFACTURING,32,32 Other manufacturing,329,32.9 Manufacturing n.e.c.,C MANUFACTURING 32 Other manufacturing 32.9 Manufacturing n.e.c.
C,C MANUFACTURING,25,"25 Manufacture of fabricated metal products, except machinery and equipment",256,"25.6 Manufacture of cutlery, tools and general hardware","C MANUFACTURING 25 Manufacture of fabricated metal products, except machinery and equipment 25.6 Manufacture of cutlery, tools and general hardware This group includes the manufacture of cutlery, metal hand tools and general hardware."
C,C MANUFACTURING,25,"25 Manufacture of fabricated metal products, except machinery and equipment",252,"25.2 Manufacture of tanks, reservoirs and containers of metal","C MANUFACTURING 25 Manufacture of fabricated metal products, except machinery and equipment 25.2 Manufacture of tanks, reservoirs and containers of metal This group includes the manufacture of metal tanks, central heating radiators, steam or other vapour generating boilers (other than central heating boilers)."
C,C MANUFACTURING,15,15 Manufacture of leather and related products of other materials,151,"15.1 Tanning, dyeing, dressing of leather and fur; manufacture of luggage, handbags, saddlery and harness","C MANUFACTURING 15 Manufacture of leather and related products of other materials 15.1 Tanning, dyeing, dressing of leather and fur; manufacture of luggage, handbags, saddlery and harness This group includes the manufacture of leather and fur and products thereof."
T,T OTHER SERVICE ACTIVITIES,95,"95 Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles",953,95.3 Repair and maintenance of motor vehicles and motorcycles,"T OTHER SERVICE ACTIVITIES 95 Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles 95.3 Repair and maintenance of motor vehicles and motorcycles This group includes the repair and maintenance of motor vehicles and motorcycles."
L,L FINANCIAL AND INSURANCE ACTIVITIES,64,"64 Financial service activities, except insurance and pension funding",642,64.2 Activities of holding companies and financing conduits,"L FINANCIAL AND INSURANCE ACTIVITIES 64 Financial service activities, except insurance and pension funding 64.2 Activities of holding companies and financing conduits This group includes the activities of holding companies and financing conduits. These are corporate groups’ captive financial entities, in other words, units created by a financial or non-financial group to fulfil specific financial activities and whose main activity is, respectively, to own the group or to act as a vehicle to arrange and channel funds within the group."
C,C MANUFACTURING,30,30 Manufacture of other transport equipment,302,30.2 Manufacture of railway locomotives and rolling stock,C MANUFACTURING 30 Manufacture of other transport equipment 30.2 Manufacture of railway locomotives and rolling stock
M,M REAL ESTATE ACTIVITIES,68,68 Real estate activities,683,68.3 Real estate activities on a fee or contract basis,M REAL ESTATE ACTIVITIES 68 Real estate activities 68.3 Real estate activities on a fee or contract basis
F,F CONSTRUCTION,42,42 Civil engineering,422,42.2 Construction of utility projects,F CONSTRUCTION 42 Civil engineering 42.2 Construction of utility projects
C,C MANUFACTURING,28,28 Manufacture of machinery and equipment n.e.c.,289,28.9 Manufacture of other special-purpose machinery,"C MANUFACTURING 28 Manufacture of machinery and equipment n.e.c. 28.9 Manufacture of other special-purpose machinery This group includes the manufacture of special-purpose machinery, in other words, machinery for exclusive use in a NACE industry or a small cluster of NACE industries. While most of this special-purpose machinery is used in other manufacturing processes (for example, food manufacturing or textile manufacturing), this group also includes the manufacture of machinery specific for other non-manufacturing industries (for example, aircraft launching gear or amusement park equipment)."
C,C MANUFACTURING,22,22 Manufacture of rubber and plastic products,221,22.1 Manufacture of rubber products,C MANUFACTURING 22 Manufacture of rubber and plastic products 22.1 Manufacture of rubber products This group includes the manufacture of rubber products.
C,C MANUFACTURING,21,21 Manufacture of basic pharmaceutical products and pharmaceutical preparations,212,21.2 Manufacture of pharmaceutical preparations,C MANUFACTURING 21 Manufacture of basic pharmaceutical products and pharmaceutical preparations 21.2 Manufacture of pharmaceutical preparations
K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",63,"63 Computing infrastructure, data processing, hosting and other information service activities",631,"63.1 Computing infrastructure, data processing, hosting and related activities","K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 63 Computing infrastructure, data processing, hosting and other information service activities 63.1 Computing infrastructure, data processing, hosting and related activities"
C,C MANUFACTURING,32,32 Other manufacturing,321,"32.1 Manufacture of jewellery, bijouterie and related articles","C MANUFACTURING 32 Other manufacturing 32.1 Manufacture of jewellery, bijouterie and related articles This group includes the manufacture of jewellery and imitation jewellery articles."
C,C MANUFACTURING,26,"26 Manufacture of computer, electronic and optical products",261,26.1 Manufacture of electronic components and boards,"C MANUFACTURING 26 Manufacture of computer, electronic and optical products 26.1 Manufacture of electronic components and boards"
C,C MANUFACTURING,26,"26 Manufacture of computer, electronic and optical products",262,26.2 Manufacture of computers and peripheral equipment,"C MANUFACTURING 26 Manufacture of computer, electronic and optical products 26.2 Manufacture of computers and peripheral equipment"
C,C MANUFACTURING,26,"26 Manufacture of computer, electronic and optical products",264,26.4 Manufacture of consumer electronics,"C MANUFACTURING 26 Manufacture of computer, electronic and optical products 26.4 Manufacture of consumer electronics"
J,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",58,58 Publishing activities,582,58.2 Software publishing,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES 58 Publishing activities 58.2 Software publishing This group includes the publishing of software (for example, operating systems, business and financial technologies software and applications, video games). Development and continuous updating of self-published video games and software are included here. This group also includes:
- intermediation service activities for software publishing and operation of marketplaces for software downloads"
C,C MANUFACTURING,20,20 Manufacture of chemicals and chemical products,206,20.6 Manufacture of man-made fibres,C MANUFACTURING 20 Manufacture of chemicals and chemical products 20.6 Manufacture of man-made fibres
S,"S ARTS, SPORTS AND RECREATION",92,92 Gambling and betting activities,920,92.0 Gambling and betting activities,"S ARTS, SPORTS AND RECREATION 92 Gambling and betting activities 92.0 Gambling and betting activities"
C,C MANUFACTURING,20,20 Manufacture of chemicals and chemical products,204,"20.4 Manufacture of washing, cleaning and polishing preparations","C MANUFACTURING 20 Manufacture of chemicals and chemical products 20.4 Manufacture of washing, cleaning and polishing preparations"
C,C MANUFACTURING,25,"25 Manufacture of fabricated metal products, except machinery and equipment",253,25.3 Manufacture of weapons and ammunition,"C MANUFACTURING 25 Manufacture of fabricated metal products, except machinery and equipment 25.3 Manufacture of weapons and ammunition"
E,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",36,"36 Water collection, treatment and supply",360,"36.0 Water collection, treatment and supply","E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES 36 Water collection, treatment and supply 36.0 Water collection, treatment and supply"
E,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",39,39 Remediation activities and other waste management service activities,390,39.0 Remediation activities and other waste management service activities,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES 39 Remediation activities and other waste management service activities 39.0 Remediation activities and other waste management service activities"
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",73,"73 Activities of advertising, market research and public relations",733,73.3 Public relations and communication activities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 73 Activities of advertising, market research and public relations 73.3 Public relations and communication activities"
R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,88,88 Social work activities without accommodation,881,88.1 Social work activities without accommodation for older persons or persons with disabilities,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES 88 Social work activities without accommodation 88.1 Social work activities without accommodation for older persons or persons with disabilities
J,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",59,"59 Motion picture, video and television programme production, sound recording and music publishing activities",592,59.2 Sound recording and music publishing activities,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES 59 Motion picture, video and television programme production, sound recording and music publishing activities 59.2 Sound recording and music publishing activities"
C,C MANUFACTURING,23,23 Manufacture of other non-metallic mineral products,233,23.3 Manufacture of clay building materials,C MANUFACTURING 23 Manufacture of other non-metallic mineral products 23.3 Manufacture of clay building materials
T,T OTHER SERVICE ACTIVITIES,95,"95 Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles",952,95.2 Repair and maintenance of personal and household goods,"T OTHER SERVICE ACTIVITIES 95 Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles 95.2 Repair and maintenance of personal and household goods This group includes the repair and maintenance of personal and household goods."
A,"A AGRICULTURE, FORESTRY AND FISHING",01,"01 Crop and animal production, hunting and related service activities",016,01.6 Support activities to agriculture and post-harvest crop activities,"A AGRICULTURE, FORESTRY AND FISHING 01 Crop and animal production, hunting and related service activities 01.6 Support activities to agriculture and post-harvest crop activities This group includes activities incidental to agricultural production and activities similar to agriculture not undertaken for production purposes (in the sense of harvesting agricultural products), usually done on a fee or contract basis. Also included are post-harvest crop activities, aimed at preparing agricultural products for the primary market."
C,C MANUFACTURING,26,"26 Manufacture of computer, electronic and optical products",267,"26.7 Manufacture of optical instruments, magnetic and optical media and photographic equipment","C MANUFACTURING 26 Manufacture of computer, electronic and optical products 26.7 Manufacture of optical instruments, magnetic and optical media and photographic equipment"
T,T OTHER SERVICE ACTIVITIES,96,96 Personal service activities,969,96.9 Other personal service activities,T OTHER SERVICE ACTIVITIES 96 Personal service activities 96.9 Other personal service activities
C,C MANUFACTURING,20,20 Manufacture of chemicals and chemical products,202,"20.2 Manufacture of pesticides, disinfectants and other agrochemical products","C MANUFACTURING 20 Manufacture of chemicals and chemical products 20.2 Manufacture of pesticides, disinfectants and other agrochemical products"
K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",62,"62 Computer programming, consultancy and related activities",629,62.9 Other information technology and computer service activities,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 62 Computer programming, consultancy and related activities 62.9 Other information technology and computer service activities"
C,C MANUFACTURING,24,24 Manufacture of basic metals,241,24.1 Manufacture of basic iron and steel and of ferro-alloys,C MANUFACTURING 24 Manufacture of basic metals 24.1 Manufacture of basic iron and steel and of ferro-alloys
R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,86,86 Human health activities,862,86.2 Medical and dental practice activities,"R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES 86 Human health activities 86.2 Medical and dental practice activities This group includes medical consultation and treatment, performed by general medical practitioners and medical specialists (for example, medical doctors, dentists), legally recognised to treat patients.

These activities can be carried out in private practice, group practices, hospital outpatient clinics and in clinics attached to businesses, schools, homes for older persons, labour organisations and fraternal organisations, as well as in patients’ homes. This group also includes:
- private consultants’ services to inpatients"
G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,468,46.8 Other specialised wholesale,"G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.8 Other specialised wholesale This group includes:
- other specialised wholesale activities not classified in groups 46.2 to 46.7 of this division.
- the wholesale of intermediate products, except agricultural, typically not for household use"
B,B MINING AND QUARRYING,05,05 Mining of coal and lignite,052,05.2 Mining of lignite,B MINING AND QUARRYING 05 Mining of coal and lignite 05.2 Mining of lignite
B,B MINING AND QUARRYING,09,09 Mining support service activities,099,09.9 Support activities for other mining and quarrying,B MINING AND QUARRYING 09 Mining support service activities 09.9 Support activities for other mining and quarrying
B,B MINING AND QUARRYING,07,07 Mining of metal ores,072,07.2 Mining of non-ferrous metal ores,B MINING AND QUARRYING 07 Mining of metal ores 07.2 Mining of non-ferrous metal ores This group includes the mining of non-ferrous metal ores.
C,C MANUFACTURING,28,28 Manufacture of machinery and equipment n.e.c.,282,28.2 Manufacture of other general-purpose machinery,C MANUFACTURING 28 Manufacture of machinery and equipment n.e.c. 28.2 Manufacture of other general-purpose machinery
U,U ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,98,98 Undifferentiated goods- and service-producing activities of private households for own use,982,98.2 Undifferentiated service-producing activities of private households for own use,U ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE 98 Undifferentiated goods- and service-producing activities of private households for own use 98.2 Undifferentiated service-producing activities of private households for own use
E,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",38,"38 Waste collection, recovery and disposal activities",383,38.3 Waste disposal without recovery,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES 38 Waste collection, recovery and disposal activities 38.3 Waste disposal without recovery This group includes waste disposal of both non-hazardous and hazardous waste. Included are thermal treatment without energy recovery, landfilling, release in bodies of water and permanent storage of waste. Treatment prior to disposal of various forms of waste by different means (for example, the treatment of organic waste with the aim of disposal; the treatment and disposal of toxic live or dead animals and other contaminated waste; the treatment and disposal of transitional radioactive waste from hospitals, etc.) are also included. This group also includes burial or ploughing under of refuse; disposal of used goods to eliminate harmful waste."
